,h,p,c
0,0.8565038943327137,0.8023315806470598,0.9185211675066746
1,0.8548761791765673,0.7788311021434676,0.9473781962578471
2,0.8385008141438455,0.763198945226779,0.9302887873276207
3,0.8401859057701921,0.7694091407921306,0.9253031182688047
4,0.8426643130744458,0.7687033649186807,0.9323727432324982
5,0.8473224594038657,0.7759290508885481,0.9331850259656541
6,0.8475708583459218,0.769511220937745,0.9432551773296106
7,0.8474385119665797,0.781931876104522,0.9249244000965001
8,0.8529939128669211,0.7855274586800053,0.93313818248198
9,0.8426519812899632,0.7685476859124308,0.932571666858396
