,h,p,c
0,0.8455806112510542,0.8856729988938595,0.8089608087151825
1,0.8309239872794695,0.9005468807160606,0.7712938753531385
2,0.8309497564314485,0.8952194066735052,0.7752900802426964
3,0.8169736129564421,0.9232751949738577,0.7326228491624666
4,0.835537370985822,0.8776362771026369,0.7972924392054648
5,0.8399565476667148,0.8963253953413208,0.7902581443901017
6,0.838784567551204,0.8961129335835842,0.7883502631737286
7,0.8442109531684527,0.9014770863584114,0.7937858801156911
8,0.8369999220358815,0.8988785702606713,0.7830920015505374
9,0.8365947569448575,0.8912830158272953,0.788229746430633
