,h,p,c
0,0.7843757960243488,0.7118202406979985,0.8734012384856488
1,0.7918448889601704,0.6897632806779433,0.929390100206246
2,0.8676409121546519,0.8359069459946997,0.9018794255538012
3,0.8344165569521663,0.7514628003722981,0.937957396966761
4,0.7967505657540008,0.7058985282720316,0.914443152164303
5,0.7890347496962661,0.6870558638977926,0.9265634641086853
6,0.8161139312565528,0.7241818947101256,0.934780649462285
7,0.800186782479803,0.7250619277935698,0.8926786839930314
8,0.8140032245063342,0.7379355434155386,0.90755564065046
9,0.8096776153595153,0.7378304006510646,0.8970267897880334

