Min Time, Join Coefficient, alpha, partioning_factor, max_iterations, Purity, Coverage, Harmonic Mean, Cost, Number Of Segments
18.000000,0.300000,0.300000,0.000000,30.000000,88.870254,74.844809,81.256753,4.160321,153.000000
24.000000,0.300000,0.300000,0.000000,30.000000,87.417936,84.286130,85.823472,4.096044,129.000000
18.000000,0.350000,0.300000,0.000000,30.000000,89.713809,80.141407,84.657876,4.074808,136.000000
